區,日期,溫度,平均露點溫度,平均相對濕度,最高溫度,最低溫度,最高體感溫度,最低體感溫度,最大舒適度指數,最小舒適度指數,12小時降雨機率,風向,最大風速,天氣現象,紫外線指數,天氣描述
新營區,2019-11-12T18:00:00+08:00,21,18,83,24,19,24,20,22,19,,偏北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度83%。
鹽水區,2019-11-12T18:00:00+08:00,21,18,84,23,19,23,21,22,19,,偏北風,3,晴時多雲,NONE,晴時多雲。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度84%。
白河區,2019-11-12T18:00:00+08:00,21,18,82,24,19,24,21,22,19,,偏東風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏東風 風速2級(每秒2公尺)。相對濕度82%。
柳營區,2019-11-12T18:00:00+08:00,21,18,83,24,19,24,20,22,18,,偏北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度83%。
後壁區,2019-11-12T18:00:00+08:00,21,18,83,24,19,24,20,22,18,,東北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度83%。
東山區,2019-11-12T18:00:00+08:00,21,17,82,24,19,24,20,22,18,,偏東風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏東風 風速2級(每秒2公尺)。相對濕度82%。
麻豆區,2019-11-12T18:00:00+08:00,21,18,84,24,20,24,21,22,19,,東北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏20至24度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度84%。
下營區,2019-11-12T18:00:00+08:00,21,18,84,24,19,24,20,22,19,,偏北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度84%。
六甲區,2019-11-12T18:00:00+08:00,20,17,83,24,18,24,20,22,18,,偏北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏18至24度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度83%。
官田區,2019-11-12T18:00:00+08:00,21,18,83,24,19,24,21,22,19,,偏北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度83%。
大內區,2019-11-12T18:00:00+08:00,20,18,85,24,19,24,20,22,18,,西北風,1,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。西北風 風速<= 1級(每秒1公尺)。相對濕度85%。
佳里區,2019-11-12T18:00:00+08:00,21,18,84,24,20,24,21,22,20,,偏北風,3,晴時多雲,NONE,晴時多雲。溫度攝氏20至24度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度84%。
學甲區,2019-11-12T18:00:00+08:00,21,18,85,23,20,23,21,21,19,,偏北風,3,晴時多雲,NONE,晴時多雲。溫度攝氏20至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度85%。
西港區,2019-11-12T18:00:00+08:00,22,19,84,24,20,25,22,23,20,,偏北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏20至24度。舒適。偏北風 風速2級(每秒2公尺)。相對濕度84%。
七股區,2019-11-12T18:00:00+08:00,22,19,83,24,20,24,22,22,20,,偏北風,3,晴時多雲,NONE,晴時多雲。溫度攝氏20至24度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度83%。
將軍區,2019-11-12T18:00:00+08:00,21,18,84,23,20,23,21,22,20,,偏北風,3,晴時多雲,NONE,晴時多雲。溫度攝氏20至23度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度84%。
北門區,2019-11-12T18:00:00+08:00,22,19,82,23,21,23,22,22,21,,偏北風,4,晴時多雲,NONE,晴時多雲。溫度攝氏21至23度。舒適。偏北風 風速3級(每秒4公尺)。相對濕度82%。
新化區,2019-11-12T18:00:00+08:00,20,18,86,24,18,24,19,22,18,,東北風,1,晴時多雲,NONE,晴時多雲。溫度攝氏18至24度。稍有寒意至舒適。東北風 風速<= 1級(每秒1公尺)。相對濕度86%。
善化區,2019-11-12T18:00:00+08:00,21,18,84,24,19,24,20,22,18,,東北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度84%。
新市區,2019-11-12T18:00:00+08:00,21,18,85,24,18,24,20,22,18,,東北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏18至24度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度85%。
安定區,2019-11-12T18:00:00+08:00,22,19,84,24,20,24,21,22,19,,偏北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏20至24度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度84%。
山上區,2019-11-12T18:00:00+08:00,21,18,85,24,19,24,20,22,18,,偏西風,1,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏西風 風速<= 1級(每秒1公尺)。相對濕度85%。
玉井區,2019-11-12T18:00:00+08:00,20,17,85,23,18,24,19,22,17,,偏東風,1,晴時多雲,NONE,晴時多雲。溫度攝氏18至23度。稍有寒意至舒適。偏東風 風速<= 1級(每秒1公尺)。相對濕度85%。
楠西區,2019-11-12T18:00:00+08:00,20,17,85,23,18,24,19,21,17,,偏東風,0,晴時多雲,NONE,晴時多雲。溫度攝氏18至23度。稍有寒意至舒適。偏東風 風速<= 1級(每秒0公尺)。相對濕度85%。
南化區,2019-11-12T18:00:00+08:00,18,15,85,21,16,22,17,20,16,,偏東風,1,晴時多雲,NONE,晴時多雲。溫度攝氏16至21度。稍有寒意至舒適。偏東風 風速<= 1級(每秒1公尺)。相對濕度85%。
左鎮區,2019-11-12T18:00:00+08:00,20,17,87,23,18,23,19,22,17,,偏東風,1,晴時多雲,NONE,晴時多雲。溫度攝氏18至23度。稍有寒意至舒適。偏東風 風速<= 1級(每秒1公尺)。相對濕度87%。
仁德區,2019-11-12T18:00:00+08:00,22,19,84,25,20,25,22,23,20,,西北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏20至25度。舒適。西北風 風速2級(每秒2公尺)。相對濕度84%。
歸仁區,2019-11-12T18:00:00+08:00,21,19,85,25,19,25,21,23,19,,偏北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度85%。
關廟區,2019-11-12T18:00:00+08:00,21,18,87,24,19,25,20,23,19,,偏西風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏西風 風速2級(每秒2公尺)。相對濕度87%。
龍崎區,2019-11-12T18:00:00+08:00,20,18,87,23,18,24,19,22,18,,偏西風,2,晴時多雲,NONE,晴時多雲。溫度攝氏18至23度。稍有寒意至舒適。偏西風 風速2級(每秒2公尺)。相對濕度87%。
永康區,2019-11-12T18:00:00+08:00,21,18,84,24,19,25,21,23,19,,偏西風,2,晴時多雲,NONE,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏西風 風速2級(每秒2公尺)。相對濕度84%。
東區,2019-11-12T18:00:00+08:00,22,19,83,25,20,26,22,23,20,,西北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏20至25度。舒適。西北風 風速2級(每秒2公尺)。相對濕度83%。
南區,2019-11-12T18:00:00+08:00,23,19,82,25,21,26,23,23,21,,西北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏21至25度。舒適。西北風 風速2級(每秒2公尺)。相對濕度82%。
北區,2019-11-12T18:00:00+08:00,22,19,82,25,21,26,22,23,20,,西北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏21至25度。舒適。西北風 風速2級(每秒2公尺)。相對濕度82%。
安南區,2019-11-12T18:00:00+08:00,22,19,82,24,20,25,22,23,20,,西北風,2,晴時多雲,NONE,晴時多雲。溫度攝氏20至24度。舒適。西北風 風速2級(每秒2公尺)。相對濕度82%。
