,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1081000167,2019/10/18 17:39:29,指定主管簽核,PC,公園管理科二股,戴佳男,路燈增設,將軍區,照明不足,路燈增設,2019/10/18,長榮里,經度:120.16957093434 緯度:23.1947298274314X_97坐標:164991.371796955 Y_97坐標:2566089.04157929
1,1081000166,2019/10/18 17:39:21,包商回覆預定數量(for承辦),PC,公園管理科二股,戴佳男,路燈增設,麻豆區,照明不足,路燈增設,2019/10/18,謝厝寮里,經度:120.234274750298 緯度:23.1464867261446X_97坐標:171587.102820573 Y_97坐標:2560710.15317251
2,1081000165,2019/10/18 17:39:13,包商回覆預定數量(for承辦),PC,公園管理科二股,戴佳男,路燈增設,麻豆區,照明不足,路燈增設,2019/10/18,港尾里,經度:120.208216357323 緯度:23.2079097253493X_97坐標:168955.517094537 Y_97坐標:2567526.564497
3,1081000164,2019/10/18 17:39:03,包商回覆預定數量(for承辦),PC,公園管理科二股,戴佳男,路燈增設,白河區,照明不足,路燈增設,2019/10/18,崎內里,經度:120.471402348094 緯度:23.3833323322159X_97坐標:195965.945630602 Y_97坐標:2586830.59581624
4,1081000163,2019/10/18 17:38:55,包商回覆預定數量(for承辦),PC,公園管理科二股,戴佳男,路燈增設,東山區,照明不足,路燈增設,2019/10/18,南勢里,經度:120.499418713689 緯度:23.2644465997288X_97坐標:198784.330004055 Y_97坐標:2573654.93260886
5,1081000162,2019/10/18 17:38:47,包商回覆預定數量(for承辦),PC,公園管理科二股,戴佳男,路燈維修,東山區,照明異常,路燈維修,2019/10/18,林安里,經度:120.43516205091 緯度:23.2821212257133X_97坐標:192217.563046787 Y_97坐標:2575636.37335056
6,1081000161,2019/10/18 17:38:15,包商回覆預定數量(for承辦),PC,公園管理科二股,戴佳男,路燈增設,佳里區,照明不足,路燈增設,2019/10/18,鎮山里,經度:120.183380965148 緯度:23.1454090301722X_97坐標:166374.499380698 Y_97坐標:2560619.09789501
7,1081000160,2019/10/18 16:32:23,傳送派工單給包商,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.17508888465 緯度:22.9914534792573X_97坐標:165429.124558462 Y_97坐標:2543574.54938532
8,1081000159,2019/10/18 15:53:52,包商回覆預定數量(for承辦),PC,第一工務大隊,黃福彬,設施正常,北區,設施,設施正常,,元寶桂花公園,經度:120.225192801528 緯度:23.0126545992178X_97坐標:170578.47 Y_97坐標:2545894.35
9,1081000158,2019/10/18 00:18:48,派工中,PC,養護工程科一股,朱利安,路面坑洞,永康區,鋪面,路面坑洞,,大仁路,經度:120.255913504863 緯度:23.0027853103826X_97坐標:173722.07 Y_97坐標:2544785.11
