0,1,2,3,4,5,6,7,8,9,10,11,12,13,hole,splitArea
7,1081000160,2019/10/18 16:32:23,傳送派工單給包商,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.17508888465 緯度:22.9914534792573X_97坐標:165429.124558462 Y_97坐標:2543574.54938532,0,58.0
9,1081000158,2019/10/18 00:18:48,派工中,PC,養護工程科一股,朱利安,路面坑洞,永康區,鋪面,路面坑洞,,大仁路,經度:120.255913504863 緯度:23.0027853103826X_97坐標:173722.07 Y_97坐標:2544785.11,1,84.0
45,1081000120,2019/10/15 11:30:14,已派工,PC,養護工程科一股,鄭世衡,路面破(龜)裂,安南區,鋪面,路面破(龜)裂,,安南區 手孔調平.聲響.引出管共7件,經度:120.192301502751 緯度:23.0203827618158X_97坐標:167211.516478706 Y_97坐標:2546768.37750317,0,114.0
61,1081000103,2019/10/14 09:27:50,指定主管簽核,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.168758477102 緯度:22.990108708535X_97坐標:164779.248146643 Y_97坐標:2543429.29231395,0,57.0
77,1081000086,2019/10/09 09:28:06,指定主管簽核,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.150239688055 緯度:22.9955184594878X_97坐標:162884.035428838 Y_97坐標:2544039.25478876,0,55.0
78,1081000085,2019/10/09 09:26:38,指定主管簽核,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.175336536369 緯度:22.9935642729346X_97坐標:165455.829590212 Y_97坐標:2543808.15770807,0,58.0
101,1081000057,2019/10/05 10:45:06,已派工,PC,第一工務大隊,吳建中,路面掏空,安南區,鋪面,路面掏空,,郡安路五段178巷114號搶修,經度:120.195793831418 緯度:23.0266216510583X_97坐標:167573.286901194 Y_97坐標:2547457.30832275,0,132.0
117,1081000039,2019/10/04 09:27:06,包商回覆預定數量(for承辦),PC,第三工務大隊,陳緯剛,路面坑洞,新化區,鋪面,路面坑洞,,台南市全區,經度:120.310844391492 緯度:23.0384853166956X_97坐標:179371.9476344 Y_97坐標:2548710.96177064,1,162.0
119,1081000037,2019/10/03 16:59:35,已派工,PC,第一工務大隊,吳建中,鋪面正常,安南區,鋪面,鋪面正常,,開安路198號前等四處搶修,經度:120.225142785842 緯度:23.0507966963313X_97坐標:170595.693086106 Y_97坐標:2550118.25024299,0,171.0
139,1081000014,2019/10/01 16:58:15,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,永康區,鋪面,人手孔周圍沉陷或損壞,,永康區 永大路二段,經度:120.26122282426 緯度:23.023617704185X_97坐標:174277.990697852 Y_97坐標:2547089.32749098,0,121.0
