,TOWN_CODE,LOCATION,ABE_DA,AEN_DA,AREA_TA,UN_NA,LASTMOD,POLY_LIST,splitArea
,2101,起裕農路998號(旁),2018.01.01,2018.04.03,1.2,台灣自來水公司台南服務所,2019-01-16T21:06:28.687,"[120.24571729133805, 22.990165526709884]",65.0
,2102,起南門路26號訖南門路26號,2018.01.02,2018.01.31,1,台灣自來水公司台南給水廠,2018-07-12T11:55:08.133,"[120.20438263596809, 22.987851943598]",43.0
,2104,起林森路3段338號訖林森路3段338號,2018.01.02,2018.01.31,1,台灣自來水公司台南給水廠,2018-07-12T11:55:19.290,"[120.22329290184442, 23.00881569633653]",99.0
,2115,起大利路70號(2戶),2018.01.02,2018.02.02,1.5,台灣自來水股份有限公司第六區管理處歸仁服務所,2018-04-12T14:25:13.270,"[120.25442185378266, 22.988529029239483]",66.0
,2115,義林三街82號(旁),2018.01.02,2018.02.02,0.75,台灣自來水股份有限公司第六區管理處歸仁服務所,2018-03-30T17:26:24.857,"[120.26065378174748, 22.96849842358989]",13.0
,2104,起公園路765/777號(等旁),2018.01.02,2018.04.01,1.44,中華電信公司台南營運處第二客網中心,2018-09-28T09:31:09.400,"[120.21574091894598, 23.018665267746243]",116.0
,2104,起公園路769巷30弄18/43號(等旁)訖公園路769巷32弄9/22/26/35號(旁等),2018.01.02,2018.04.01,11.52,中華電信公司台南營運處第二客網中心,2018-03-26T14:09:04.380,"[120.21511103084526, 23.018286751335012]",116.0
,2104,北園街109巷70號,2018.01.02,2018.03.12,1.2,中華電信公司台南營運處第一客網中心四股,2018-05-18T14:03:53.917,"[120.22124065835344, 23.012873714346473]",98.0
,2106,起府安路6段27巷22弄口-11號,2018.01.03,2018.07.01,57.6,龍湶水資源股份有限公司,2018-12-19T09:15:57.540,"[120.1908312814865, 23.02062041870362]",113.0
,2106,起府安路6段27巷40弄口-12號,2018.01.03,2018.07.01,60,龍湶水資源股份有限公司,2018-12-19T09:15:38.167,"[120.19074321593342, 23.02100504414155]",113.0
,2106,起安中路1段149號(旁),2018.01.03,2018.03.05,2,台灣電力公司台南區營業處,2018-05-11T10:57:22.153,"[120.20844589562846, 23.03539116270127]",151.0
,2102,起海安路2段128巷34號(挖忠明街),2018.01.03,2018.04.02,0.72,中華電信公司台南營運處第二客網中心,2018-11-21T15:25:40.757,"[120.19745760410632, 22.995917855867877]",60.0
,2108,起正北1路146號,2018.01.03,2018.03.03,170.4,台灣電力公司台南區營業處,2018-06-15T09:26:08.633,"[120.26004331474944, 23.04945784922601]",174.0
,2108,起正北1路136巷(內),2018.01.03,2018.03.03,198,台灣電力公司台南區營業處,2018-06-15T09:27:39.230,"[120.26067740552661, 23.049803630568704]",175.0
,2108,起正北1路126號(等),2018.01.03,2018.03.03,216,台灣電力公司台南區營業處,2018-06-15T09:22:25.060,"[120.26099358636561, 23.048455830551664]",175.0
,2108,起正北1路96號,2018.01.03,2018.03.03,84,台灣電力公司台南區營業處,2018-06-15T09:24:27.430,"[120.26197934217895, 23.04741603038217]",175.0
,2108,起民東路,2018.01.03,2018.03.03,60,台灣電力公司台南區營業處,2018-06-15T09:29:07.223,"[120.25934207092641, 23.053027258819526]",192.0
,2108,起國民路231巷20號,2018.01.03,2018.03.03,6.24,台灣電力公司台南區營業處,2018-09-17T09:37:32.880,"[120.26435100903304, 23.0227623106041]",121.0
,2101,起崇德路973號,2018.01.03,2018.04.10,8,台灣自來水公司台南給水廠,2018-07-06T15:51:20.713,"[120.227565374844, 22.96156038499979]",9.0
